q		q
w	ー	
a	え	
s	い	
d	あ	
f	お	
e	う	
z	yぇ	
x	yぃ	
c	yぁ	
v	yぉ	
r	yぅ	
t	、	
g	ん	
b	。	
y	f	
h	k	
n	g	
u	w	
j	t	
m	d	
i	r	
k	n	
,	m	
o	y	
l	s	
.	z	
p	p	
;	h	
/	b	
qh	←	
qj	↓	
qk	↑	
ql	→	
qw	～	
qa	ぇ	
qs	ぃ	
qd	ぁ	
qf	ぉ	
qe	ぅ	
qc	ゃ	
qv	ょ	
qr	ゅ	
qb	・	
qg	……	
hd	か	
hhd	っか	
hs	き	
hhs	っき	
he	く	
hhe	っく	
ha	け	
hha	っけ	
hf	こ	
hhf	っこ	
ld	さ	
lld	っさ	
l;s	し	
ll;s	っし	
ls	し	
lls	っし	
le	す	
lle	っす	
la	せ	
lla	っせ	
lf	そ	
llf	っそ	
jd	た	
jjd	った	
js	ち	
jjs	っち	
jle	つ	
jjle	っつ	
je	つ	
jje	っつ	
ja	て	
jja	って	
jf	と	
jjf	っと	
kd	な	
ks	に	
ke	ぬ	
ka	ね	
kf	の	
;d	は	
;s	ひ	
ye	ふ	
;e	ふ	
;a	へ	
;f	ほ	
,d	ま	
,s	み	
,e	む	
,a	め	
,f	も	
od	や	
oe	ゆ	
of	よ	
id	ら	
is	り	
ie	る	
ia	れ	
if	ろ	
ud	わ	
us	うぃ	
ua	うぇ	
uf	を	
kk	ん	
nd	が	
ns	ぎ	
ne	ぐ	
na	げ	
nf	ご	
.d	ざ	
.s	じ	
.e	ず	
.a	ぜ	
.f	ぞ	
md	だ	
ms	ぢ	
me	づ	
ma	で	
mf	ど	
/d	ば	
/s	び	
/e	ぶ	
/a	べ	
/f	ぼ	
pd	ぱ	
ppd	っぱ	
ps	ぴ	
pps	っぴ	
pe	ぷ	
ppe	っぷ	
pa	ぺ	
ppa	っぺ	
pf	ぽ	
ppf	っぽ	
hod	きゃ	
hhod	っきゃ	
hoe	きゅ	
hhoe	っきゅ	
hof	きょ	
hhof	っきょ	
l;d	しゃ	
ll;d	っしゃ	
l;e	しゅ	
ll;e	っしゅ	
l;f	しょ	
ll;f	っしょ	
lod	しゃ	
llod	っしゃ	
loe	しゅ	
lloe	っしゅ	
lof	しょ	
llof	っしょ	
jod	ちゃ	
jjod	っちゃ	
joe	ちゅ	
jjoe	っちゅ	
jof	ちょ	
jjof	っちょ	
kod	にゃ	
koe	にゅ	
kof	にょ	
;od	ひゃ	
;oe	ひゅ	
;of	ひょ	
,od	みゃ	
,oe	みゅ	
,of	みょ	
iod	りゃ	
ioe	りゅ	
iof	りょ	
nod	ぎゃ	
noe	ぎゅ	
nof	ぎょ	
.od	じゃ	
.oe	じゅ	
.of	じょ	
/od	びゃ	
/oe	びゅ	
/of	びょ	
pod	ぴゃ	
ppod	っぴゃ	
poe	ぴゅ	
ppoe	っぴゅ	
pof	ぴょ	
ppof	っぴょ	
hr	きゅ	
hhr	っきゅ	
hz	きぇ	
hhz	っきぇ	
hv	きょ	
hhv	っきょ	
hc	きゃ	
hhc	っきゃ	
hx	きぃ	
hhx	っきぃ	
lc	しゃ	
llc	っしゃ	
lx	しぃ	
llx	っしぃ	
lr	しゅ	
llr	っしゅ	
lz	しぇ	
llz	っしぇ	
lv	しょ	
llv	っしょ	
jc	ちゃ	
jjc	っちゃ	
jx	ちぃ	
jjx	っちぃ	
jr	ちゅ	
jjr	っちゅ	
jz	ちぇ	
jjz	っちぇ	
jv	ちょ	
jjv	っちょ	
kx	にぃ	
kr	にゅ	
kz	にぇ	
kv	にょ	
kc	にゃ	
;c	ひゃ	
;x	ひぃ	
;r	ひゅ	
;z	ひぇ	
;v	ひょ	
,c	みゃ	
,x	みぃ	
,r	みゅ	
,z	みぇ	
,v	みょ	
ix	りぃ	
ir	りゅ	
iz	りぇ	
iv	りょ	
ic	りゃ	
nc	ぎゃ	
nx	ぎぃ	
nr	ぎゅ	
nz	ぎぇ	
nv	ぎょ	
.c	じゃ	
.x	じぃ	
.r	じゅ	
.z	じぇ	
.v	じょ	
mz	ぢぇ	
mv	ぢょ	
mc	ぢゃ	
mx	ぢぃ	
mr	ぢゅ	
/c	びゃ	
/x	びぃ	
/r	びゅ	
/z	びぇ	
/v	びょ	
pc	ぴゃ	
ppc	っぴゃ	
px	ぴぃ	
ppx	っぴぃ	
pr	ぴゅ	
ppr	っぴゅ	
pz	ぴぇ	
ppz	っぴぇ	
pv	ぴょ	
ppv	っぴょ	
